Whitehorse,Canada,1
Mamburao,Philippines,2
Pinheiral,Portugal,3
Sada,Mayotte,4
Mölnlycke,Sweden,5
Chalamarca,Peru,6
Halmstad,Sweden,7
Saint John,Malta,8
Los Tangos,Honduras,9
Gubin,Poland,10
Hongdu,China,11
Azogues,Ecuador,12
Äänekoski,Finland,13
Changping,China,14
Wien,Austria,15
Daping,China,16
Ålesund,Norway,17
Roissy Charles-de-Gaulle,France,18
Lafia,Nigeria,19
Akhtarīn,Syria,20
Karadaglije,Bosnia and Herzegovina,21
Verkhniy Baskunchak,Russia,22
San Isidro,Mexico,23
Yan Nawa,Thailand,24
Resende,Brazil,25
Bakung Utara,Indonesia,26
Cha-am,Thailand,27
Rasskazovo,Russia,28
Warri,Nigeria,29
Cavadas,Portugal,30
Santa Ana,Peru,31
Banraeaba Village,Kiribati,32
Revava,Israel,33
San José Acatempa,Guatemala,34
Guarumal,Panama,35
Dapitan,Philippines,36
Zaqatala,Azerbaijan,37
Ningzhong,China,38
Leigu,China,39
Jiuhu,China,40
Rzhev,Russia,41
Castainço,Portugal,42
San Francisco de Macorís,Dominican Republic,43
Uppsala,Sweden,44
Mosteiro,Portugal,45
Raciąż,Poland,46
San Fernando,Philippines,47
Sillamäe,Estonia,48
Les Coteaux,Canada,49
Suicheng,China,50
Emiliano Zapata,Mexico,51
Šuto Orizare,Macedonia,52
Alavieska,Finland,53
Novosemeykino,Russia,54
Tempeh Tengah,Indonesia,55
Phu Khiao,Thailand,56
Rrapë,Albania,57
Zwierzyń,Poland,58
Ngchesar Hamlet,Palau,59
Stefanavíkion,Greece,60
Liyuan,China,61
Qal‘ah-ye Na‘īm,Afghanistan,62
Licheń Stary,Poland,63
Areguá,Paraguay,64
Lengkongsari,Indonesia,65
Jamalteca,Honduras,66
Caoyan,China,67
Hengxi,China,68
Apeldoorn,Netherlands,69
Lypova Dolyna,Ukraine,70
Bořetice,Czech Republic,71
Maulawin,Philippines,72
Huanglong,China,73
Sison,Philippines,74
Laranjeiras,Brazil,75
Guli,China,76
Viga,Philippines,77
Osveya,Belarus,78
Ferreiros,Portugal,79
Xiaochi,China,80
Carmelo,Philippines,81
Kopashnovo,Ukraine,82
Minh Lương,Vietnam,83
Baruunsuu,Mongolia,84
Semënovskoye,Russia,85
Fengjiang,China,86
Monamon,Philippines,87
Nantes,France,88
La Plaine-Saint-Denis,France,89
Las Tejerías,Venezuela,90
Kristiansand S,Norway,91
Uwelini,Tanzania,92
Nîmes,France,93
Starominskaya,Russia,94
Buenavista,Mexico,95
Solingen,Germany,96
Mobai,Sierra Leone,97
Casal do Relvas,Portugal,98
Hubei,China,99
San Antonio,Philippines,100
